market,latitude,longitude,commodity,unit,price,year,month
Arusha (urban),-3.366667,36.683333,Maize,100 KG,49166.75,2014,6
Arusha (urban),-3.366667,36.683333,Rice,100 KG,129166.75,2014,6
Arusha (urban),-3.366667,36.683333,Beans,100 KG,133125.0,2014,6
Arusha (urban),-3.366667,36.683333,Maize,100 KG,45227.0,2014,7
Arusha (urban),-3.366667,36.683333,Rice,100 KG,135000.0,2014,7
Arusha (urban),-3.366667,36.683333,Beans,100 KG,127955.0,2014,7
Arusha (urban),-3.366667,36.683333,Maize,100 KG,40458.0,2014,8
Arusha (urban),-3.366667,36.683333,Rice,100 KG,127083.0,2014,8
Arusha (urban),-3.366667,36.683333,Beans,100 KG,127917.0,2014,8
Arusha (urban),-3.366667,36.683333,Maize,100 KG,38577.0,2014,9
Arusha (urban),-3.366667,36.683333,Rice,100 KG,128846.0,2014,9
Arusha (urban),-3.366667,36.683333,Beans,100 KG,137885.0,2014,9
Arusha (urban),-3.366667,36.683333,Maize,100 KG,36250.0,2014,11
Arusha (urban),-3.366667,36.683333,Rice,100 KG,131071.0,2014,11
Arusha (urban),-3.366667,36.683333,Beans,100 KG,136786.0,2014,11
Arusha (urban),-3.366667,36.683333,Maize,100 KG,35712.0,2014,12
Arusha (urban),-3.366667,36.683333,Rice,100 KG,143846.0,2014,12
Arusha (urban),-3.366667,36.683333,Beans,100 KG,149423.0,2014,12
Arusha (urban),-3.366667,36.683333,Maize,100 KG,36521.0,2015,1
Arusha (urban),-3.366667,36.683333,Rice,100 KG,150625.0,2015,1
Arusha (urban),-3.366667,36.683333,Beans,100 KG,162083.0,2015,1
Arusha (urban),-3.366667,36.683333,Maize,100 KG,35500.0,2015,2
Arusha (urban),-3.366667,36.683333,Rice,100 KG,150000.0,2015,2
Arusha (urban),-3.366667,36.683333,Beans,100 KG,161250.0,2015,2
Arusha (urban),-3.366667,36.683333,Maize,100 KG,40167.0,2015,3
Arusha (urban),-3.366667,36.683333,Rice,100 KG,156250.0,2015,3
Arusha (urban),-3.366667,36.683333,Beans,100 KG,151458.0,2015,3
Arusha (urban),-3.366667,36.683333,Maize,100 KG,52909.0,2015,4
Arusha (urban),-3.366667,36.683333,Rice,100 KG,159455.0,2015,4
Arusha (urban),-3.366667,36.683333,Beans,100 KG,157955.0,2015,4
Arusha (urban),-3.366667,36.683333,Maize,100 KG,52563.0,2015,5
Arusha (urban),-3.366667,36.683333,Rice,100 KG,175000.0,2015,5
Arusha (urban),-3.366667,36.683333,Beans,100 KG,171875.0,2015,5
Arusha (urban),-3.366667,36.683333,Maize,100 KG,55083.0,2015,6
Arusha (urban),-3.366667,36.683333,Rice,100 KG,171667.0,2015,6
Arusha (urban),-3.366667,36.683333,Beans,100 KG,174167.0,2015,6
Arusha (urban),-3.366667,36.683333,Maize,100 KG,58964.0,2015,7
Arusha (urban),-3.366667,36.683333,Rice,100 KG,169345.0,2015,7
Arusha (urban),-3.366667,36.683333,Beans,100 KG,138897.0,2015,7
Arusha (urban),-3.366667,36.683333,Maize,100 KG,71455.0,2015,8
Arusha (urban),-3.366667,36.683333,Rice,100 KG,159470.0,2015,8
Arusha (urban),-3.366667,36.683333,Beans,100 KG,130540.0,2015,8
Arusha (urban),-3.366667,36.683333,Maize,100 KG,67402.0,2015,9
